h1_gain,h2_gain,h3_gain,h4_gain,alpha1,alpha2,alpha3,alpha4,Sum_Rate
2.7787341944020922,0.9858669337724421,0.8163339681869378,0.12164744576560882,0.25,0.25,0.12813925989850267,0.11588937150759103,11.009174337564472
3.366121274914619,1.022820643692205,0.8947389093949049,0.2769249111506014,0.25,0.25,0.12777265379978184,0.11659620903472426,11.287913561348867
1.510279869803277,0.77555783601221,0.48588316296687956,0.102128659592368,0.25,0.25,0.1312393923542114,0.110658312863952,10.125481494065351
5.393763601084253,1.5047542377208483,0.9395317925739528,0.45852252810465055,0.25,0.25,0.12842864969124168,0.11778505031648943,11.9724789357739
3.7985210409008343,1.1943949628739885,0.6565518282517078,0.08209073928791605,0.25,0.25,0.13019335960044398,0.11496226957876453,11.46081197685153
1.824956187055769,1.6737150005003232,0.7327734861686935,0.28700020320507197,0.25,0.25,0.12964475982188506,0.11599797785071277,10.409595936456908
2.5946183258115045,1.5002422926885546,0.5869616805630594,0.2896145683077518,0.25,0.25,0.1313702797260534,0.11433339242804916,10.916060596418372
1.0070290054966708,0.18317342742916526,0.05485533363884144,0.00245934045118811,0.25,0.25,0.20125929655378655,0.01896161761087156,9.463974290480998
3.1730861446578107,1.199472641598642,0.3932137221492167,0.009860014220404948,0.25,0.25,0.13523754367499136,0.10980608124956459,11.175355940989672
1.416012658249355,0.49162810904295695,0.3736234629835658,0.06506158135118427,0.25,0.25,0.1324145521722959,0.10564963778457218,10.021155239033861
0.5818231842967696,0.29421158978546513,0.10167581095157836,0.01228251432910024,0.25,0.25,0.1635301998518314,0.06517839024824382,8.706979337737579
0.6651500231600057,0.3382166595202806,0.08012848021041084,0.020119888089134026,0.25,0.25,0.17812879891015812,0.053329227350323,8.910117740514458
1.6938017618129224,0.9075340180289028,0.7443238485409459,0.615242552101042,0.25,0.25,0.12822480360771038,0.11478979138876508,10.296381251574532
0.6267824386159924,0.5915665531965745,0.14936733917316045,0.09436518951301023,0.25,0.25,0.15225414051228198,0.0853051002779435,8.849849978969171
0.7761049937905735,0.6303152117839822,0.5090632176102552,0.28158406043184997,0.25,0.25,0.1292450865017854,0.10960116084763194,9.163952897449748
2.2516503663186054,0.1369714882901895,0.07549067051078923,0.058723728355027774,0.25,0.25,0.17242622793545836,0.0399595279798554,10.617863935184557
1.8344400543379649,1.5534215734501666,0.3149167274207848,0.11030385768898071,0.25,0.25,0.13858645565423625,0.10683202939081893,10.41366062055006
1.9359200197774757,0.7152459121635844,0.7026474100720693,0.17036750010407126,0.25,0.25,0.12797495535979042,0.1137430662833412,10.483821973737447
1.3766866822976476,0.6607874677274765,0.6393865313674237,0.10678818878950096,0.25,0.25,0.12812865397146536,0.11248866233977817,9.989483251635848
4.951261570563963,1.6477774991472633,0.0739945325372065,0.04483682631940629,0.25,0.25,0.1908029040998816,0.05565778381722124,11.837242140881973
3.0235191337324685,0.6998748464636885,0.5948932294807893,0.3780264561443132,0.25,0.25,0.12941937681291416,0.11260963767917447,11.127451831941068
1.9410352721229065,0.8334262965426055,0.12426093254501355,0.025693842360679384,0.25,0.25,0.16159425662104554,0.08111844016620365,10.47863342696168
1.008829298796796,0.30181498234282617,0.25652092347515826,0.2237782314810023,0.25,0.25,0.13496930709348423,0.09598613229227387,9.518865680445222
2.003317242017195,1.1149833565015004,0.35982712960228996,0.2455402987902201,0.25,0.25,0.13602941046198774,0.10823828751066163,10.539323493303188
2.7024596886183567,2.0567599408448145,0.14192950255485295,0.13674327653913865,0.25,0.25,0.15855071168447205,0.0880931970734052,10.972577343582726
1.8536798059740598,0.6554086470593871,0.41304226339049427,0.19803701857323217,0.25,0.25,0.13261655027153413,0.10840595274595861,10.419362645678302
1.60172561522607,1.3873747565042773,1.2918169139759625,1.0091748620453298,0.25,0.25,0.12628814474204064,0.11854710969921717,10.221115138011069
1.5311835119540051,1.2862240552991104,0.5023080580990646,0.07109129380533968,0.25,0.25,0.13219401516436033,0.11228591327596138,10.150321390869824
4.591740618863238,2.163949024612451,0.6444440732397013,0.23225667975146852,0.25,0.25,0.1313311020017883,0.11581385168442757,11.741765796492166
1.0943396328074795,1.0310630260240923,0.8948396435604844,0.3108496918530752,0.25,0.25,0.12702066989599733,0.11584548328914238,9.6676916367586
1.1758279509988028,0.10879569130716936,0.09317455542653061,0.04001029921250093,0.25,0.25,0.15462078726947692,0.04729534896475503,9.657163122957208
1.8239920456326404,1.2162132470730793,1.1189270761494283,0.4886852705673991,0.25,0.25,0.12672769587679183,0.11779056296334668,10.406793004283871
1.5806605547134265,0.9031987307374248,0.42008275464505485,0.10019447382377956,0.25,0.25,0.13334366797203406,0.1095388345447504,10.193235987605938
1.9529540158001926,0.5415432709341821,0.5052565839556284,0.046446794248775354,0.25,0.25,0.12963946978168844,0.10984754560385683,10.485417282282759
1.6753805856074446,0.2414632826602604,0.10848698133019909,0.07364621142445359,0.25,0.25,0.15998883921730028,0.06781188049482229,10.234468959921386
1.6752569548065785,1.345301852567877,1.0324563398847202,0.6173898762793322,0.25,0.25,0.12723834659751243,0.1175527070080296,10.285222379375659
0.8874304364521257,0.237686143785639,0.15373946346151052,0.07971418883816797,0.25,0.25,0.14559592076487432,0.08055081279554961,9.319085163415016
5.743405113219568,2.564035298755441,0.17877030523543447,0.1584780739629882,0.25,0.25,0.15177618432714485,0.09583848266673578,12.062441677113684
2.1570156265058684,1.303448717254313,0.6324440145106774,0.22351391881350355,0.25,0.25,0.13040834497511217,0.11459666873095162,10.648101474117293
0.3169561335360536,0.07549353326136975,0.06691180997956248,0.03880698717584069,0.25,0.25,0.16266604157234493,0.013215593242604698,7.712942094554168
3.2694283605448753,2.326215934417444,0.1709774357958359,0.04418014480369165,0.25,0.25,0.15278658830954853,0.09429933849524555,11.24466904787193
